,Date,Infected,Deaths,Recovered
0,2020-01-31,2.0,0.0,0.0
1,2020-02-01,2.0,0.0,0.0
2,2020-02-02,2.0,0.0,0.0
3,2020-02-03,2.0,0.0,0.0
4,2020-02-04,2.0,0.0,0.0
5,2020-02-05,2.0,0.0,0.0
6,2020-02-06,2.0,0.0,0.0
7,2020-02-07,3.0,0.0,0.0
8,2020-02-08,3.0,0.0,0.0
9,2020-02-09,3.0,0.0,0.0
10,2020-02-10,3.0,0.0,0.0
11,2020-02-11,3.0,0.0,0.0
12,2020-02-12,3.0,0.0,0.0
13,2020-02-13,3.0,0.0,0.0
14,2020-02-14,3.0,0.0,0.0
15,2020-02-15,3.0,0.0,0.0
16,2020-02-16,3.0,0.0,0.0
17,2020-02-17,3.0,0.0,0.0
18,2020-02-18,3.0,0.0,0.0
19,2020-02-19,3.0,0.0,0.0
20,2020-02-20,3.0,0.0,0.0
21,2020-02-21,20.0,1.0,0.0
22,2020-02-22,62.0,2.0,1.0
23,2020-02-23,155.0,3.0,2.0
24,2020-02-24,229.0,7.0,1.0
25,2020-02-25,322.0,10.0,1.0
26,2020-02-26,453.0,12.0,3.0
27,2020-02-27,655.0,17.0,45.0
28,2020-02-28,888.0,21.0,46.0
29,2020-02-29,1128.0,29.0,46.0
30,2020-03-01,1694.0,34.0,83.0
31,2020-03-02,2036.0,52.0,149.0
32,2020-03-03,2502.0,79.0,160.0
33,2020-03-04,3089.0,107.0,276.0
34,2020-03-05,3858.0,148.0,414.0
35,2020-03-06,4636.0,197.0,523.0
36,2020-03-07,5883.0,233.0,589.0
37,2020-03-08,7375.0,366.0,622.0
38,2020-03-09,9172.0,463.0,724.0
39,2020-03-10,10149.0,631.0,724.0
40,2020-03-11,12462.0,827.0,1045.0
41,2020-03-12,12462.0,827.0,1045.0
42,2020-03-13,17660.0,1266.0,1439.0
43,2020-03-14,21157.0,1441.0,1966.0
44,2020-03-15,24747.0,1809.0,2335.0
45,2020-03-16,27980.0,2158.0,2749.0
46,2020-03-17,31506.0,2503.0,2941.0
47,2020-03-18,35713.0,2978.0,4025.0
48,2020-03-19,41035.0,3405.0,4440.0
49,2020-03-20,47021.0,4032.0,4440.0
50,2020-03-21,53578.0,4825.0,6072.0
51,2020-03-22,59138.0,5476.0,7024.0
52,2020-03-23,63927.0,6077.0,7432.0
53,2020-03-24,69176.0,6820.0,8326.0
54,2020-03-25,74386.0,7503.0,9362.0
55,2020-03-26,80589.0,8215.0,10361.0
56,2020-03-27,86498.0,9134.0,10950.0
57,2020-03-28,92472.0,10023.0,12384.0
58,2020-03-29,97689.0,10779.0,13030.0
59,2020-03-30,101739.0,11591.0,14620.0
60,2020-03-31,105792.0,12428.0,15729.0
61,2020-04-01,110574.0,13155.0,16847.0
62,2020-04-02,115242.0,13915.0,18278.0
63,2020-04-03,119827.0,14681.0,19758.0
64,2020-04-04,124632.0,15362.0,20996.0
65,2020-04-05,128948.0,15887.0,21815.0
66,2020-04-06,132547.0,16523.0,22837.0
67,2020-04-07,135586.0,17127.0,24392.0
68,2020-04-08,139422.0,17669.0,26491.0
69,2020-04-09,143626.0,18279.0,28470.0
70,2020-04-10,147577.0,18849.0,30455.0
71,2020-04-11,152271.0,19468.0,32534.0
72,2020-04-12,156363.0,19899.0,34211.0
73,2020-04-13,159516.0,20465.0,35435.0
74,2020-04-14,162488.0,21067.0,37130.0
75,2020-04-15,165155.0,21645.0,38092.0
76,2020-04-16,168941.0,22170.0,40164.0
77,2020-04-17,172434.0,22745.0,42727.0
78,2020-04-18,175925.0,23227.0,44927.0
79,2020-04-19,178972.0,23660.0,47055.0
80,2020-04-20,181228.0,24114.0,48877.0
81,2020-04-21,183957.0,24648.0,51600.0
82,2020-04-22,187327.0,25085.0,54543.0
83,2020-04-23,189973.0,25549.0,57576.0
84,2020-04-24,192994.0,25969.0,60498.0
85,2020-04-25,195351.0,26384.0,63120.0
86,2020-04-26,197675.0,26644.0,64928.0
